Date,Open,High,Low,Close,Adj Close,Volume
2015-12-01,67.339996,68.000000,63.509998,66.029999,57.035702,316546000
2016-01-01,63.950001,64.129997,54.660000,59.500000,51.395195,470257300
2016-02-01,59.160000,59.650002,52.500000,56.299999,48.957310,477952300
2016-03-01,56.759998,60.970001,56.669998,59.220001,51.496487,356907400
2016-04-01,59.020000,64.660004,57.070000,63.200001,54.957420,344767700
2016-05-01,63.689999,66.199997,60.590000,65.269997,57.177654,283915300
2016-06-01,64.760002,65.919998,57.049999,62.139999,54.435719,394697700
2016-07-01,61.660000,64.980003,58.759998,63.970001,56.038841,283878900
2016-08-01,64.150002,67.769997,63.380001,67.500000,59.591492,263306200
2016-09-01,67.639999,67.900002,65.110001,66.589996,58.788105,316507200
2016-10-01,66.349998,69.769997,66.099998,69.260002,61.145279,304123000
2016-11-01,69.480003,80.529999,67.639999,80.169998,71.291519,458561900
2016-12-01,80.650002,87.389999,80.650002,85.489998,76.022362,378432200
2017-01-01,87.339996,88.169998,83.029999,84.629997,75.257629,343161300
2017-02-01,85.540001,91.339996,84.160004,90.620003,81.030136,271414600
2017-03-01,92.790001,93.980003,85.230003,87.839996,78.544342,371669000
2017-04-01,87.989998,89.129997,84.360001,87.000000,77.793228,321139800
2017-05-01,87.360001,88.089996,81.639999,82.150002,74.304047,283639500
2017-06-01,82.459999,92.650002,81.650002,91.400002,82.670609,334136800
2017-07-01,91.559998,94.510002,90.320000,91.800003,83.032410,271473000
2017-08-01,92.489998,95.220001,90.160004,90.889999,82.661499,253237800
2017-09-01,91.250000,95.879997,88.080002,95.510002,86.863251,250922800
2017-10-01,95.769997,102.419998,94.959999,100.610001,91.501541,259433200
2017-11-01,101.099998,106.660004,95.949997,104.519997,95.613213,256086400
2017-12-01,104.900002,108.459999,102.199997,106.940002,97.826996,284432100
2018-01-01,107.629997,117.349998,106.809998,115.669998,105.813072,304940100
2018-02-01,115.769997,119.330002,103.980003,115.500000,106.207954,354632300
2018-03-01,115.480003,118.750000,106.650002,109.970001,101.122856,321513800
2018-04-01,109.959999,115.150002,106.080002,108.779999,100.028580,340100300
2018-05-01,108.449997,114.730003,104.959999,107.010002,98.899979,273649200
2018-06-01,108.339996,111.910004,103.110001,104.199997,96.302925,307772000
2018-07-01,103.720001,117.610001,102.199997,114.949997,106.238213,298256100
2018-08-01,115.750000,118.290001,112.970001,114.580002,106.471733,234427900
2018-09-01,114.339996,119.239998,112.519997,112.839996,104.854851,232549000
2018-10-01,113.370003,116.809998,102.730003,109.019997,101.305183,433042000
2018-11-01,109.620003,112.930000,105.980003,111.190002,104.045166,283227700
2018-12-01,112.379997,112.889999,91.110001,97.620003,91.347137,425217000
2019-01-01,95.949997,105.239998,95.940002,103.500000,96.849304,325890900
2019-02-01,104.000000,107.269997,100.059998,104.360001,98.447090,224935100
2019-03-01,105.099998,108.400002,98.089996,101.230003,95.494431,306599600
2019-04-01,102.150002,117.160004,102.120003,116.050003,109.474747,252516300
2019-05-01,115.720001,117.000000,104.839996,105.959999,100.721298,230711900
2019-06-01,105.800003,112.430000,105.300003,111.800003,106.272552,248212500
2019-07-01,113.230003,117.239998,112.150002,116.000000,110.264900,232050200
2019-08-01,115.330002,116.800003,104.339996,109.860001,105.167793,258437400
2019-09-01,108.980003,120.400002,107.320000,117.690002,112.663368,229360700
2019-10-01,118.400002,127.419998,110.519997,124.919998,119.584564,251981100
2019-11-01,126.199997,132.429993,126.019997,131.759995,127.142815,191200500
2019-12-01,132.309998,140.080002,128.589996,139.399994,134.515091,212915300
2020-01-01,139.789993,141.100006,129.710007,132.360001,127.721802,247990900
2020-02-01,132.660004,139.289993,112.660004,116.110001,112.760529,240725900
2020-03-01,116.629997,122.949997,76.910004,90.029999,87.432869,734330700
2020-04-01,85.099998,104.389999,82.769997,95.760002,92.997581,532016700
2020-05-01,93.500000,102.949997,82.400002,97.309998,95.484879,497859100
2020-06-01,97.750000,115.769997,92.000000,94.059998,92.295830,535984200
2020-07-01,94.889999,101.290001,90.779999,96.639999,94.827438,432632100
2020-08-01,97.019997,106.430000,95.029999,100.190002,99.268852,319794900
2020-09-01,99.550003,105.209999,91.379997,96.269997,95.384888,390696700
2020-10-01,97.120003,104.449997,95.089996,98.040001,97.138618,325376900
2020-11-01,99.389999,105.099998,97.860001,102.959999,102.959999,81764800
2020-11-06,105.029999,105.099998,102.389999,102.959999,102.959999,12552785
